query,match_type,impressions,clicks,Currency code,avg_cpc,keyword_group,ctr,opportunity_clicks
ia de codigo,Broad match,27,1,USD,0.1,coding ai,0.037,26
mnml ai,Broad match,27,0,USD,0.0,AI development tools,0.0,27
perplexity,Broad match,26,0,USD,0.0,AI software tools,0.0,26
ia para excel,Broad match,26,0,USD,0.0,AI for data analysis,0.0,26
ai para programação,Broad match,26,3,USD,0.27,ai software,0.1154,23
ia gratuita,Broad match,26,3,USD,0.24,ai software,0.1154,23
ai software,Exact match,26,3,USD,0.39,ai software,0.1154,23
proceres ai,Broad match,26,1,USD,0.1,AI software tools,0.0385,25
luna ai,Broad match,26,1,USD,0.1,ai apps,0.0385,25
ai generator,Broad match,25,0,USD,0.0,ai apps,0.0,25
ia free,Broad match,25,5,USD,0.19,ai software,0.2,20
qual a melhor ia para programação,Broad match,25,1,USD,0.42,ai programs,0.04,24
coding ai tools,Phrase match (close variant),25,2,USD,0.13,ai software,0.08,23
google ai,Phrase match (close variant),25,0,USD,0.0,ai software,0.0,25
criar slides com ia,Broad match,25,4,USD,0.34,ai software,0.16,21
ia de microsoft,Broad match,24,0,USD,0.0,ai software,0.0,24
github copilot free,Broad match,24,2,USD,0.43,coding ai,0.0833,22
artificial intelligence,Broad match,24,0,USD,0.0,ai software,0.0,24
claude ai,Broad match,24,0,USD,0.0,AI software tools,0.0,24
recraft ai,Broad match,23,0,USD,0.0,AI software tools,0.0,23
prome ai,Broad match,23,1,USD,0.1,ai software,0.0435,22
decohere ai,Phrase match (close variant),23,1,USD,0.1,AI software tools,0.0435,22
julius ai,Broad match,23,0,USD,0.0,ai software,0.0,23
abacus ai,Broad match,23,0,USD,0.0,ai software,0.0,23
app kits ia,Broad match,23,2,USD,0.1,ai apps,0.087,21
makecode microbit org,Broad match,23,1,USD,0.1,AI-powered coding,0.0435,22
ai tool,Broad match,23,1,USD,0.16,ai software,0.0435,22
inteligência artificial para criar imagens,Broad match,23,7,USD,0.31,ai programs,0.3043,16
creador de imagenes ia,Broad match,23,1,USD,0.1,AI software helper,0.0435,22
ai code review,Exact match,22,1,USD,0.2,AI code review,0.0455,21
github copilot free,Broad match,22,1,USD,0.1,ai software,0.0455,21
prome ia,Broad match,22,0,USD,0.0,ai software,0.0,22
free ai api,Phrase match (close variant),22,0,USD,0.0,ai software,0.0,22
deepai,Broad match,22,1,USD,0.29,AI software tools,0.0455,21
python online compiler,Broad match,22,0,USD,0.0,AI-powered coding,0.0,22
ia para desenvolvedores,Broad match,22,11,USD,0.44,AI for developers,0.5,11
abacus ai,Phrase match (close variant),22,0,USD,0.0,ai software,0.0,22
yapay zeka,Broad match,22,2,USD,0.1,ai software,0.0909,20
assembly ia,Broad match,21,0,USD,0.0,ai programs,0.0,21
kaiber,Broad match,21,1,USD,0.1,AI software tools,0.0476,20
ai code assistant,Phrase match (close variant),21,0,USD,0.0,ai software,0.0,21
ia creador de imagenes,Broad match,21,3,USD,0.1,AI software tools,0.1429,18
inteligência artificial para programação,Broad match,21,6,USD,0.29,ai programs,0.2857,15
free ai tools,Phrase match (close variant),21,1,USD,0.1,ai software,0.0476,20
the ai code editor,Phrase match (close variant),21,1,USD,0.21,ai software,0.0476,20
flux ai,Phrase match (close variant),21,1,USD,0.28,ai software,0.0476,20
codeium,Phrase match (close variant),21,1,USD,0.21,ai software,0.0476,20
humanizer ai,Broad match,21,2,USD,0.56,AI software tools,0.0952,19
flutter ai,Phrase match (close variant),21,0,USD,0.0,ai software,0.0,21
ai para programar,Broad match,21,4,USD,0.18,ai software,0.1905,17
hyper ai,Broad match,20,0,USD,0.0,ai software,0.0,20
sora ai,Broad match,20,1,USD,0.1,AI development tools,0.05,19
copilot designer,Broad match,20,0,USD,0.0,coding ai,0.0,20
code ai generator,Phrase match (close variant),20,1,USD,0.09,ai software,0.05,19
newarc ai,Broad match,20,0,USD,0.0,AI development tools,0.0,20
python online compiler,Broad match,20,4,USD,0.1,coding ai,0.2,16
lookx ai,Broad match,20,0,USD,0.0,ai software,0.0,20
code copilot,Broad match,20,2,USD,0.34,AI coding assistant,0.1,18
free ai,Phrase match (close variant),20,3,USD,0.74,ai software,0.15,17
ai app,Broad match,20,4,USD,0.1,ai software,0.2,16
krea ia,Broad match,20,0,USD,0.0,AI software tools,0.0,20
scale ai,Broad match,20,0,USD,0.0,AI software tools,0.0,20
como criar uma ia,Broad match,20,3,USD,0.29,ai programs,0.15,17
ai code editor,Phrase match (close variant),20,2,USD,0.19,ai software,0.1,18
qual melhor ia para programação,Broad match,20,2,USD,0.33,ai programs,0.1,18
kaiber,Broad match,20,1,USD,0.36,AI development tools,0.05,19
humanize ai,Broad match,20,2,USD,0.53,ai apps,0.1,18
melhor ia para programar,Broad match,20,5,USD,0.31,ai programs,0.25,15
free ai code generator,Phrase match (close variant),20,1,USD,0.58,ai software,0.05,19
app kits ai,Broad match,20,1,USD,0.1,ai apps,0.05,19
amazon codewhisperer,Broad match,20,0,USD,0.0,coding ai,0.0,20
langflow,Broad match,20,0,USD,0.0,artificial intelligence programming,0.0,20
inteligencia artificial programação,Broad match,20,2,USD,0.36,ai software,0.1,18
devin ai,Broad match,19,2,USD,0.09,ai apps,0.1053,17
python online compiler,Broad match,19,0,USD,0.0,AI code enhancement,0.0,19
zzz code ai,Broad match,19,0,USD,0.0,ai tools,0.0,19
online python compiler,Broad match,19,1,USD,0.1,AI-enhanced coding,0.0526,18
code copilot,Broad match,19,1,USD,0.19,coding ai,0.0526,18
revid ai,Phrase match (close variant),19,0,USD,0.0,ai software,0.0,19
humanizer ai,Broad match,19,1,USD,0.51,ai tools,0.0526,18
ia para dev,Broad match,19,3,USD,0.2,AI for developers,0.1579,16
ia para fazer slides,Broad match,19,3,USD,0.48,ai software,0.1579,16
ia para codigos,Broad match,19,1,USD,0.24,coding ai,0.0526,18
ia para criar codigos de programação,Broad match,19,1,USD,0.1,coding ai,0.0526,18
ai website,Broad match,19,6,USD,0.1,ai software,0.3158,13
openai codex,Phrase match (close variant),19,0,USD,0.0,ai software,0.0,19
ia para criar slides,Broad match,18,3,USD,0.37,ai software,0.1667,15
dora ai,Broad match,18,2,USD,0.1,AI development tools,0.1111,16
kaiber ai,Broad match,18,0,USD,0.0,AI development tools,0.0,18
lookx ai,Phrase match (close variant),18,0,USD,0.0,ai software,0.0,18
domo ai,Phrase match (close variant),18,0,USD,0.0,AI software tools,0.0,18
durable ai,Phrase match (close variant),18,1,USD,0.1,ai software,0.0556,17
ia generador de imagenes,Broad match,18,2,USD,0.1,AI software helper,0.1111,16
vertex ai,Phrase match (close variant),18,0,USD,0.0,ai software,0.0,18
kite ai,Broad match,18,2,USD,0.1,ai software,0.1111,16
ai app,Exact match (close variant),18,2,USD,0.1,ai apps,0.1111,16
relevance ai,Broad match,17,1,USD,0.79,ai software,0.0588,16
programming ai,Broad match,17,2,USD,0.21,ai software,0.1176,15
inteligencias artificiais,Broad match,17,1,USD,0.18,ai programs,0.0588,16
deepai,Phrase match (close variant),17,0,USD,0.0,ai software,0.0,17
ai studio,Broad match,17,0,USD,0.0,ai programs,0.0,17
replit ghostwriter,Broad match,17,0,USD,0.0,coding ai,0.0,17
code ia,Broad match,17,0,USD,0.0,ai programs,0.0,17
ia que cria slides,Broad match,17,0,USD,0.0,ai software,0.0,17
искусственный интеллект онлайн,Broad match,17,0,USD,0.0,ai programs,0.0,17
ai coding assistant,Exact match,17,4,USD,0.16,AI coding assistant,0.2353,13
galileo ai,Phrase match (close variant),17,0,USD,0.0,ai software,0.0,17
ia open source,Broad match,17,1,USD,0.64,ai software,0.0588,16
app rask ai,Phrase match (close variant),17,0,USD,0.0,ai software,0.0,17
best ai for coding free,Phrase match (close variant),17,4,USD,0.29,ai software,0.2353,13
replit ai,Phrase match (close variant),17,0,USD,0.0,ai programs,0.0,17
immersity ai,Broad match,17,1,USD,0.57,ai software,0.0588,16
yazılım için yapay zeka,Phrase match (close variant),17,1,USD,0.1,ai software,0.0588,16
best ai code generator,Phrase match (close variant),17,2,USD,0.3,ai software,0.1176,15
best coding ai,Phrase match (close variant),17,0,USD,0.0,ai software,0.0,17
decohere ai,Phrase match (close variant),17,5,USD,0.1,ai software,0.2941,12
tabnine ai,Phrase match (close variant),17,0,USD,0.0,ai software,0.0,17
criar apresentação com ia,Broad match,17,2,USD,0.31,ai software,0.1176,15
gemini ai,Broad match,17,0,USD,0.0,AI development tools,0.0,17
github ai,Phrase match (close variant),17,1,USD,0.18,ai software,0.0588,16
generador de ia,Broad match,16,0,USD,0.0,ai software,0.0,16
ia codigo,Broad match,16,1,USD,0.18,coding ai,0.0625,15
devin ai,Broad match,16,0,USD,0.0,AI software tools,0.0,16
inteligencia artificial para programação,Broad match,16,1,USD,0.69,ai programs,0.0625,15
rendernet ai,Broad match,16,1,USD,0.22,ai software,0.0625,15
cursor ai,Broad match,16,1,USD,0.53,coding ai,0.0625,15
ai tools,Exact match (close variant),16,0,USD,0.0,ai software,0.0,16
flux ai,Broad match,16,0,USD,0.0,AI development tools,0.0,16
melhor inteligencia artificial para programação,Broad match,16,2,USD,0.47,ai programs,0.125,14
generar imagenes con ia,Broad match,16,2,USD,0.1,AI software helper,0.125,14
ai programacion,Broad match,16,2,USD,0.34,ai software,0.125,14
ai,Broad match,16,3,USD,0.56,ai apps,0.1875,13
alaya ai,Broad match,16,0,USD,0.0,ai software,0.0,16
krea ai,Broad match,16,1,USD,0.1,ai software,0.0625,15
ia para programação,Broad match,16,4,USD,0.37,ai software,0.25,12
turbolearn ai,Broad match,16,0,USD,0.0,coding ai,0.0,16
deepcode ai,Phrase match (close variant),16,1,USD,0.1,ai software,0.0625,15
ideogram ai,Broad match,16,0,USD,0.0,ai apps,0.0,16
useblackbox io,Broad match,16,2,USD,0.14,coding ai,0.125,14
codegeex,Broad match,16,1,USD,0.1,coding ai,0.0625,15
unriddle ai,Phrase match (close variant),16,1,USD,2.44,ai software,0.0625,15
no code ai,Phrase match (close variant),16,1,USD,0.2,ai software,0.0625,15
developer ai,Broad match,16,1,USD,0.1,ai software,0.0625,15
hedra ai,Broad match,16,1,USD,0.21,AI software tools,0.0625,15
figma ai,Phrase match (close variant),16,0,USD,0.0,ai apps,0.0,16
ask codi,Broad match,15,1,USD,0.1,coding ai,0.0667,14
ia que cria graficos,Broad match,15,4,USD,0.32,ai programs,0.2667,11
ai tool for coding,Phrase match (close variant),15,2,USD,0.21,ai software,0.1333,13
project maker ai,Broad match,15,4,USD,0.18,ai software,0.2667,11
ai for developers,Exact match,15,0,USD,0.0,AI for developers,0.0,15
ia para codigo,Broad match,15,1,USD,0.1,coding ai,0.0667,14
image to code ai,Phrase match (close variant),15,0,USD,0.0,coding ai,0.0,15
ias para programar,Broad match,15,0,USD,0.0,ai programs,0.0,15
microsoft ai,Phrase match (close variant),15,0,USD,0.0,ai software,0.0,15
code ai,Broad match,15,2,USD,0.15,ai programs,0.1333,13
ia para devs,Broad match,15,1,USD,0.1,AI for developers,0.0667,14
ia que programa sozinho,Broad match,15,4,USD,0.17,ai software,0.2667,11
como criar uma inteligência artificial,Broad match,15,2,USD,0.35,ai programs,0.1333,13
code generator ai,Broad match,15,0,USD,0.0,ai software,0.0,15
programar con ia,Broad match,15,2,USD,0.34,ai software,0.1333,13
gemini ai,Phrase match (close variant),15,0,USD,0.0,ai programs,0.0,15
groq ai,Broad match,15,0,USD,0.0,AI for data analysis,0.0,15
new ai,Broad match,15,2,USD,0.36,ai software,0.1333,13
claude ai,Phrase match (close variant),15,0,USD,0.0,AI software tools,0.0,15
aithor ia,Broad match,15,0,USD,0.0,ai apps,0.0,15
jasper ai,Broad match,15,0,USD,0.0,ai software,0.0,15
civitai,Broad match,14,0,USD,0.0,ai software,0.0,14
ai jobs,Broad match,14,0,USD,0.0,ai engineer,0.0,14
ai presentation maker free,Broad match,14,0,USD,0.0,ai software,0.0,14
inteligência artificial que faz slides grátis,Broad match,14,5,USD,0.41,ai software,0.3571,9
askcodi,Broad match,14,1,USD,0.28,ai programs,0.0714,13
open source ai,Phrase match (close variant),14,2,USD,0.93,ai software,0.1429,12
criador de slides ia,Broad match,14,3,USD,0.29,ai software,0.2143,11
inteligencia artificial crear imagenes,Broad match,14,1,USD,0.1,AI software tools,0.0714,13
ia para códigos de programación gratis,Broad match,14,3,USD,0.36,ai programs,0.2143,11
ia para gerar codigos,Broad match,14,2,USD,0.2,coding ai,0.1429,12
tryoutlier,Broad match,14,0,USD,0.0,AI software tools,0.0,14
python ai,Phrase match (close variant),14,2,USD,0.37,ai software,0.1429,12
ia gratis,Broad match,14,1,USD,0.66,ai apps,0.0714,13
future tools,Broad match,14,1,USD,0.19,ai tools,0.0714,13
ibm watson assistant,Broad match,14,1,USD,0.62,AI coding assistant,0.0714,13
tensorflow,Phrase match (close variant),14,1,USD,0.1,ai software,0.0714,13
ai tools free,Phrase match (close variant),14,1,USD,0.1,ai software,0.0714,13
software engineer ai,Phrase match,14,1,USD,0.1,ai software,0.0714,13
dev ai,Broad match,14,1,USD,0.24,ai software,0.0714,13
invoke ai,Broad match,14,0,USD,0.0,AI development tools,0.0,14
ai developer,Broad match,14,0,USD,0.0,ai software,0.0,14
deep ai,Phrase match (close variant),14,0,USD,0.0,ai software,0.0,14
txyz ai,Broad match,14,0,USD,0.0,ai apps,0.0,14
ai de programação,Broad match,14,6,USD,0.43,ai software,0.4286,8
github copilot alternative,Broad match,14,0,USD,0.0,ai software,0.0,14
imagica ai,Broad match,14,0,USD,0.0,ai software,0.0,14
blackbox al,Broad match,14,0,USD,0.0,AI coding tools,0.0,14
online python compiler,Broad match,14,1,USD,0.1,AI-powered coding,0.0714,13
coding ai free,Phrase match (close variant),14,2,USD,0.29,ai software,0.1429,12
new ai tools,Phrase match (close variant),13,0,USD,0.0,ai software,0.0,13
blackbox ai,Phrase match (close variant),13,1,USD,0.1,AI software tools,0.0769,12
appy pie,Broad match,13,0,USD,0.0,ai apps,0.0,13
lensgo ai,Broad match,13,1,USD,0.1,AI software tools,0.0769,12
adobe sensei,Broad match,13,0,USD,0.0,AI development tools,0.0,13
inteligencia artificial que crea imagenes,Broad match,13,3,USD,0.1,AI software tools,0.2308,10
ai coding,Phrase match (close variant),13,1,USD,0.44,ai software,0.0769,12
code ia,Exact match (close variant),13,1,USD,0.1,coding ai,0.0769,12
ia para desarrollo de software,Broad match,13,2,USD,0.52,ai software,0.1538,11
tryoutlier,Broad match,13,0,USD,0.0,AI coding tools,0.0,13
ui design ai,Broad match,13,0,USD,0.0,ai apps,0.0,13
ai gratis,Broad match,13,0,USD,0.0,ai software,0.0,13
generador de imagenes con ia,Broad match,13,1,USD,0.09,AI software tools,0.0769,12
crear imagen con ia,Broad match,13,2,USD,0.1,AI software tools,0.1538,11
ia programacion gratis,Broad match,13,3,USD,0.25,ai programs,0.2308,10
intellicode,Broad match,13,0,USD,0.0,coding ai,0.0,13
ia inteligencia artificial,Broad match,13,0,USD,0.0,ai programs,0.0,13
codet5,Broad match,13,1,USD,0.67,ai software,0.0769,12
code ia,Broad match,13,1,USD,0.4,ai tools,0.0769,12
ia para códigos de programação,Broad match,13,0,USD,0.0,coding ai,0.0,13
inteligencia artificial de programação,Broad match,13,5,USD,0.22,ai programs,0.3846,8
ia que crea imagenes,Broad match,13,2,USD,0.1,AI software tools,0.1538,11
ai test,Broad match,13,1,USD,0.1,AI unit testing,0.0769,12
harpa ai,Broad match,12,1,USD,0.29,ai tools,0.0833,11
microsoft ai,Broad match,12,0,USD,0.0,ai software,0.0,12
napkin ai,Broad match,12,2,USD,0.56,ai tools,0.1667,10
codigo ia,Broad match,12,0,USD,0.0,coding ai,0.0,12
ia para imagenes,Broad match,12,1,USD,0.1,AI software helper,0.0833,11
openai playground,Broad match,12,1,USD,0.2,ai software,0.0833,11
segmind,Broad match,12,0,USD,0.0,AI development tools,0.0,12
code llama,Broad match,12,0,USD,0.0,AI coding tools,0.0,12
ia para desenvolvimento de software,Broad match,12,1,USD,0.56,ai software,0.0833,11
ai2 appinventor mit edu,Broad match,12,0,USD,0.0,ai apps,0.0,12
crear imágenes con inteligencia artificial,Broad match,12,0,USD,0.0,AI software tools,0.0,12
open ai playground,Broad match,12,2,USD,0.16,ai software,0.1667,10
ia para codigo,Broad match,12,2,USD,0.1,ai software,0.1667,10
ai python code generator,Phrase match (close variant),12,0,USD,0.0,ai software,0.0,12
ia que cria código de programação,Broad match,12,3,USD,0.32,coding ai,0.25,9
ai coder,Broad match,12,0,USD,0.0,ai software,0.0,12
google colab python,Broad match,12,0,USD,0.0,AI coding assistant,0.0,12
phind ai,Broad match,12,0,USD,0.0,AI development tools,0.0,12
ia de codigos,Broad match,12,1,USD,0.25,coding ai,0.0833,11
websim ai,Broad match,12,1,USD,0.75,ai software,0.0833,11
ai project,Broad match,12,1,USD,0.1,ai software,0.0833,11
learning studio ai,Broad match,12,0,USD,0.0,ai software,0.0,12
future tools,Broad match,12,0,USD,0.0,ai apps,0.0,12
ia que cria slides a partir de textos,Broad match,12,3,USD,0.37,ai software,0.25,9
chatgpt alternative,Broad match,12,1,USD,0.1,ai apps,0.0833,11
copilot ai,Phrase match (close variant),12,0,USD,0.0,ai software,0.0,12
vertex ai,Broad match,12,1,USD,0.59,ai software,0.0833,11
cloud ai,Broad match,12,0,USD,0.0,AI for data analysis,0.0,12
glasp ai,Phrase match (close variant),12,0,USD,0.0,ai software,0.0,12
reimagine ai,Phrase match (close variant),12,0,USD,0.0,ai software,0.0,12
programas para programar,Broad match,12,1,USD,0.47,coding ai,0.0833,11
jibyte,Broad match,12,0,USD,0.0,AI development tools,0.0,12
ia programacao,Broad match,12,1,USD,0.38,ai software,0.0833,11
pixverse ai,Broad match,12,0,USD,0.0,ai apps,0.0,12
blackbox ai,Phrase match (close variant),12,0,USD,0.0,AI for coding,0.0,12
generative ai,Broad match,12,0,USD,0.0,ai software,0.0,12
ai coding tools,Exact match,12,1,USD,0.1,AI coding tools,0.0833,11
ia para ajudar a programar,Broad match,11,1,USD,0.37,ai programs,0.0909,10
inner ai,Broad match,11,1,USD,0.35,ai tools,0.0909,10
blackboxai,Broad match,11,0,USD,0.0,ai programs,0.0,11
ia,Broad match,11,0,USD,0.0,ai programs,0.0,11
coding app,Broad match,11,1,USD,0.1,AI coding assistant,0.0909,10
claude ai,Broad match,11,0,USD,0.0,ai apps,0.0,11
sora openai,Broad match,11,0,USD,0.0,AI development tools,0.0,11
code assistant ai,Phrase match (close variant),11,0,USD,0.0,ai software,0.0,11
remaker ai,Phrase match (close variant),11,0,USD,0.0,ai software,0.0,11
ai for code generation,Phrase match (close variant),11,0,USD,0.0,ai software,0.0,11
