keyword,rank,domain,date,topic,country,prev_rank,rank_change,rank_drop
free ai generator,2,writesonic.com,2023-01-22,ai_generators,us,1.0,-1.0,False
free ai generator,7,contentatscale.ai,2023-01-29,ai_generators,us,2.0,-5.0,True
free ai generator,7,contentatscale.ai,2023-02-05,ai_generators,us,7.0,0.0,False
free ai generator,9,simplified.com,2023-02-12,ai_generators,us,7.0,-2.0,False
free ai generator,9,simplified.com,2023-02-19,ai_generators,us,9.0,0.0,False
instant loan approval,10,bankrate.com,2023-01-01,loans,us,,,False
instant loan approval,17,prosper.com,2023-01-08,loans,us,10.0,-7.0,True
instant loan approval,15,lightstream.com,2023-01-15,loans,us,17.0,2.0,False
instant loan approval,18,upstart.com,2023-01-22,loans,us,15.0,-3.0,False
instant loan approval,20,bankrate.com,2023-01-29,loans,us,18.0,-2.0,False
instant loan approval,20,bankrate.com,2023-02-05,loans,us,20.0,0.0,False
instant loan approval,20,bankrate.com,2023-02-12,loans,us,20.0,0.0,False
instant loan approval,19,lendingclub.com,2023-02-19,loans,us,20.0,1.0,False
jasper ai,2,writesonic.com,2023-01-01,ai_generators,us,,,False
jasper ai,1,copy.ai,2023-01-08,ai_generators,us,2.0,1.0,False
jasper ai,1,copy.ai,2023-01-15,ai_generators,us,1.0,0.0,False
jasper ai,1,copy.ai,2023-01-22,ai_generators,us,1.0,0.0,False
jasper ai,3,rytr.me,2023-01-29,ai_generators,us,1.0,-2.0,False
jasper ai,1,copy.ai,2023-02-05,ai_generators,us,3.0,2.0,False
jasper ai,1,copy.ai,2023-02-12,ai_generators,us,1.0,0.0,False
jasper ai,1,copy.ai,2023-02-19,ai_generators,us,1.0,0.0,False
language learning app,1,babbel.com,2023-01-01,language_learning,us,,,False
language learning app,1,babbel.com,2023-01-08,language_learning,us,1.0,0.0,False
language learning app,1,babbel.com,2023-01-15,language_learning,us,1.0,0.0,False
language learning app,1,babbel.com,2023-01-22,language_learning,us,1.0,0.0,False
language learning app,1,babbel.com,2023-01-29,language_learning,us,1.0,0.0,False
language learning app,1,babbel.com,2023-02-05,language_learning,us,1.0,0.0,False
language learning app,1,babbel.com,2023-02-12,language_learning,us,1.0,0.0,False
language learning app,1,babbel.com,2023-02-19,language_learning,us,1.0,0.0,False
learn french fast,9,lingvist.com,2023-01-01,language_learning,us,,,False
learn french fast,12,rosettastone.com,2023-01-08,language_learning,us,9.0,-3.0,False
learn french fast,11,babbel.com,2023-01-15,language_learning,us,12.0,1.0,False
learn french fast,18,clozemaster.com,2023-01-22,language_learning,us,11.0,-7.0,True
learn french fast,16,lingoda.com,2023-01-29,language_learning,us,18.0,2.0,False
learn french fast,20,duolingo.com,2023-02-05,language_learning,us,16.0,-4.0,True
learn french fast,20,duolingo.com,2023-02-12,language_learning,us,20.0,0.0,False
learn french fast,20,duolingo.com,2023-02-19,language_learning,us,20.0,0.0,False
learn japanese,6,lingoda.com,2023-01-01,language_learning,us,,,False
learn japanese,10,duolingo.com,2023-01-08,language_learning,us,6.0,-4.0,True
learn japanese,10,duolingo.com,2023-01-15,language_learning,us,10.0,0.0,False
learn japanese,8,clozemaster.com,2023-01-22,language_learning,us,10.0,2.0,False
learn japanese,6,lingoda.com,2023-01-29,language_learning,us,8.0,2.0,False
learn japanese,3,pimsleur.com,2023-02-05,language_learning,us,6.0,3.0,False
learn japanese,1,babbel.com,2023-02-12,language_learning,us,3.0,2.0,False
learn japanese,1,babbel.com,2023-02-19,language_learning,us,1.0,0.0,False
learn mandarin,5,italki.com,2023-01-01,language_learning,us,,,False
learn mandarin,2,rosettastone.com,2023-01-08,language_learning,us,5.0,3.0,False
learn mandarin,2,rosettastone.com,2023-01-15,language_learning,us,2.0,0.0,False
learn mandarin,1,babbel.com,2023-01-22,language_learning,us,2.0,1.0,False
learn mandarin,2,rosettastone.com,2023-01-29,language_learning,us,1.0,-1.0,False
learn mandarin,2,rosettastone.com,2023-02-05,language_learning,us,2.0,0.0,False
learn mandarin,1,babbel.com,2023-02-12,language_learning,us,2.0,1.0,False
learn mandarin,1,babbel.com,2023-02-19,language_learning,us,1.0,0.0,False
learn spanish online,5,italki.com,2023-01-01,language_learning,us,,,False
learn spanish online,3,pimsleur.com,2023-01-08,language_learning,us,5.0,2.0,False
learn spanish online,2,rosettastone.com,2023-01-15,language_learning,us,3.0,1.0,False
learn spanish online,1,babbel.com,2023-01-22,language_learning,us,2.0,1.0,False
learn spanish online,1,babbel.com,2023-01-29,language_learning,us,1.0,0.0,False
learn spanish online,1,babbel.com,2023-02-05,language_learning,us,1.0,0.0,False
learn spanish online,1,babbel.com,2023-02-12,language_learning,us,1.0,0.0,False
learn spanish online,8,clozemaster.com,2023-02-19,language_learning,us,1.0,-7.0,True
loan calculator,1,nerdwallet.com,2023-01-01,loans,us,,,False
loan calculator,4,marcus.com,2023-01-08,loans,us,1.0,-3.0,False
loan calculator,10,bankrate.com,2023-01-15,loans,us,4.0,-6.0,True
loan calculator,12,lendingtree.com,2023-01-22,loans,us,10.0,-2.0,False
loan calculator,10,bankrate.com,2023-01-29,loans,us,12.0,2.0,False
loan calculator,10,bankrate.com,2023-02-05,loans,us,10.0,0.0,False
loan calculator,8,upstart.com,2023-02-12,loans,us,10.0,2.0,False
loan calculator,8,upstart.com,2023-02-19,loans,us,8.0,0.0,False
loan refinancing,1,nerdwallet.com,2023-01-01,loans,us,,,False
loan refinancing,3,sofi.com,2023-01-08,loans,us,1.0,-2.0,False
loan refinancing,3,sofi.com,2023-01-15,loans,us,3.0,0.0,False
loan refinancing,1,nerdwallet.com,2023-01-22,loans,us,3.0,2.0,False
loan refinancing,8,upstart.com,2023-01-29,loans,us,1.0,-7.0,True
loan refinancing,7,prosper.com,2023-02-05,loans,us,8.0,1.0,False
loan refinancing,5,lightstream.com,2023-02-12,loans,us,7.0,2.0,False
loan refinancing,2,lendingtree.com,2023-02-19,loans,us,5.0,3.0,False
low interest loan,2,lendingtree.com,2023-01-01,loans,us,,,False
low interest loan,1,nerdwallet.com,2023-01-08,loans,us,2.0,1.0,False
low interest loan,1,nerdwallet.com,2023-01-15,loans,us,1.0,0.0,False
low interest loan,1,nerdwallet.com,2023-01-22,loans,us,1.0,0.0,False
low interest loan,1,nerdwallet.com,2023-01-29,loans,us,1.0,0.0,False
low interest loan,1,nerdwallet.com,2023-02-05,loans,us,1.0,0.0,False
low interest loan,6,discover.com,2023-02-12,loans,us,1.0,-5.0,True
low interest loan,4,marcus.com,2023-02-19,loans,us,6.0,2.0,False
online language course,9,lingvist.com,2023-01-01,language_learning,us,,,False
online language course,6,lingoda.com,2023-01-08,language_learning,us,9.0,3.0,False
online language course,8,clozemaster.com,2023-01-15,language_learning,us,6.0,-2.0,False
online language course,11,babbel.com,2023-01-22,language_learning,us,8.0,-3.0,False
online language course,18,clozemaster.com,2023-01-29,language_learning,us,11.0,-7.0,True
online language course,20,duolingo.com,2023-02-05,language_learning,us,18.0,-2.0,False
online language course,19,lingvist.com,2023-02-12,language_learning,us,20.0,1.0,False
online language course,20,duolingo.com,2023-02-19,language_learning,us,19.0,-1.0,False
online loan application,7,prosper.com,2023-01-01,loans,us,,,False
online loan application,5,lightstream.com,2023-01-08,loans,us,7.0,2.0,False
online loan application,4,marcus.com,2023-01-15,loans,us,5.0,1.0,False
online loan application,5,lightstream.com,2023-01-22,loans,us,4.0,-1.0,False
online loan application,2,lendingtree.com,2023-01-29,loans,us,5.0,3.0,False
online loan application,1,nerdwallet.com,2023-02-05,loans,us,2.0,1.0,False
online loan application,1,nerdwallet.com,2023-02-12,loans,us,1.0,0.0,False
online loan application,1,nerdwallet.com,2023-02-19,loans,us,1.0,0.0,False
rosetta stone alternative,1,babbel.com,2023-01-01,language_learning,us,,,False
rosetta stone alternative,5,italki.com,2023-01-08,language_learning,us,1.0,-4.0,True
rosetta stone alternative,6,lingoda.com,2023-01-15,language_learning,us,5.0,-1.0,False
rosetta stone alternative,10,duolingo.com,2023-01-22,language_learning,us,6.0,-4.0,True
rosetta stone alternative,8,clozemaster.com,2023-01-29,language_learning,us,10.0,2.0,False
rosetta stone alternative,6,lingoda.com,2023-02-05,language_learning,us,8.0,2.0,False
rosetta stone alternative,9,lingvist.com,2023-02-12,language_learning,us,6.0,-3.0,False
rosetta stone alternative,9,lingvist.com,2023-02-19,language_learning,us,9.0,0.0,False
